Invoice_ID,Date,Region,Category,Spend_Baseline_USD,Actual_Spend_USD,Savings_Achieved_USD,Savings_Percentage,Status
INV-10629,2025-01-03,Americas,Raw Materials,168907.82,161995.99,6911.83,4.09,Completed
INV-10650,2025-01-03,Americas,IT Hardware,29908.59,27152.24,2756.35,9.22,Completed
INV-10696,2025-01-03,Asia,Marketing,58009.25,55636.91,2372.34,4.09,Pending
INV-10844,2025-01-03,Americas,IT Hardware,25638.92,22275.01,3363.91,13.12,Completed
INV-11006,2025-01-03,Americas,Office Supplies,1154.23,1062.42,91.81,7.95,In Progress
INV-10470,2025-01-04,EMENA,Marketing,72533.25,63911.75,8621.5,11.89,In Progress
INV-10746,2025-01-04,EMENA,Office Supplies,2436.96,2295.42,141.54,5.81,Completed
INV-11452,2025-01-04,EMENA,Logistics,35914.77,31235.59,4679.18,13.03,Completed
INV-10051,2025-01-05,Americas,Software Licenses,15083.39,13699.96,1383.43,9.17,Completed
INV-10361,2025-01-05,Americas,Software Licenses,17008.35,16156.46,851.89,5.01,Completed
INV-10443,2025-01-05,EMENA,Marketing,79470.51,76405.26,3065.25,3.86,Completed
INV-10471,2025-01-05,EMENA,Software Licenses,11289.36,10130.25,1159.11,10.27,In Progress
INV-11099,2025-01-05,Asia,IT Hardware,29070.98,27596.22,1474.76,5.07,In Progress
INV-11406,2025-01-05,EMENA,Software Licenses,5144.59,4541.18,603.41,11.73,Completed
INV-11319,2025-01-06,Americas,Professional Services,77136.17,67012.01,10124.16,13.13,Completed
INV-10463,2025-01-07,EMENA,Software Licenses,15074.82,14768.29,306.53,2.03,Completed
INV-10923,2025-01-07,Asia,Logistics,20034.4,19255.67,778.73,3.89,Completed
INV-11498,2025-01-07,Americas,IT Hardware,37593.81,36170.96,1422.85,3.78,Completed
INV-10827,2025-01-08,Americas,Logistics,7225.48,7310.55,-85.07,-1.18,In Progress
INV-10916,2025-01-08,Americas,Professional Services,21928.49,20688.95,1239.54,5.65,Completed
INV-11327,2025-01-08,EMENA,Professional Services,91788.07,96249.23,-4461.16,-4.86,Completed
INV-10104,2025-01-09,EMENA,Marketing,40706.98,36125.84,4581.14,11.25,Completed
INV-10682,2025-01-09,Asia,Raw Materials,80979.3,75378.17,5601.13,6.92,Completed
INV-10948,2025-01-09,Americas,Logistics,22289.72,19426.55,2863.17,12.85,Completed
INV-10958,2025-01-09,EMENA,Office Supplies,4313.15,3883.49,429.66,9.96,Pending
INV-11034,2025-01-09,EMENA,Logistics,19498.67,18915.03,583.64,2.99,Completed
INV-10678,2025-01-10,EMENA,Raw Materials,481207.25,434089.13,47118.12,9.79,Pending
INV-10810,2025-01-10,Americas,Marketing,68906.22,61615.04,7291.18,10.58,Completed
INV-11079,2025-01-10,Americas,Raw Materials,281916.15,251665.75,30250.4,10.73,Completed
INV-10501,2025-01-12,Asia,Software Licenses,18456.83,16061.93,2394.9,12.98,Completed
INV-10997,2025-01-12,Americas,Logistics,30032.95,29348.42,684.53,2.28,Pending
INV-11071,2025-01-12,Americas,Raw Materials,281641.92,289109.66,-7467.74,-2.65,In Progress
INV-11158,2025-01-12,EMENA,IT Hardware,18541.3,17053.45,1487.85,8.02,Completed
INV-11217,2025-01-12,Asia,Raw Materials,194194.02,175443.4,18750.62,9.66,Completed
INV-11401,2025-01-12,Americas,Professional Services,98595.06,88173.31,10421.75,10.57,Completed
INV-11005,2025-01-13,Americas,Raw Materials,488959.56,445259.49,43700.07,8.94,Completed
INV-11220,2025-01-14,Americas,Marketing,17689.33,15922.49,1766.84,9.99,Completed
INV-10708,2025-01-15,Americas,Office Supplies,2564.82,2359.91,204.91,7.99,Completed
INV-11023,2025-01-15,Americas,Logistics,8816.15,7600.55,1215.6,13.79,Completed
INV-11085,2025-01-15,Asia,Raw Materials,156258.42,148288.8,7969.62,5.1,Completed
INV-11134,2025-01-15,Americas,Raw Materials,468116.8,452299.56,15817.24,3.38,Completed
INV-11358,2025-01-15,Americas,IT Hardware,46466.08,43353.6,3112.48,6.7,Completed
INV-10493,2025-01-16,Asia,Raw Materials,194721.99,198644.51,-3922.52,-2.01,Pending
INV-10647,2025-01-16,Americas,Office Supplies,4670.11,4345.15,324.96,6.96,Completed
INV-10885,2025-01-16,Asia,Professional Services,80990.08,70079.7,10910.38,13.47,Completed
INV-10118,2025-01-17,EMENA,IT Hardware,23383.29,20820.05,2563.24,10.96,Completed
INV-10297,2025-01-17,Asia,Office Supplies,4285.25,4117.22,168.03,3.92,Completed
INV-10543,2025-01-17,EMENA,Software Licenses,17628.43,16815.86,812.57,4.61,Completed
INV-10718,2025-01-17,EMENA,IT Hardware,28658.09,26508.36,2149.73,7.5,Completed
INV-11062,2025-01-17,Americas,Logistics,13953.25,12991.54,961.71,6.89,Completed
INV-11300,2025-01-17,Asia,Raw Materials,184836.74,167036.19,17800.55,9.63,In Progress
INV-11458,2025-01-17,EMENA,Professional Services,13623.07,12651.87,971.2,7.13,Completed
INV-10700,2025-01-18,EMENA,Office Supplies,3455.98,3025.68,430.3,12.45,Completed
INV-11420,2025-01-18,EMENA,Marketing,17090.77,15499.2,1591.57,9.31,Completed
INV-10249,2025-01-19,Americas,Raw Materials,229200.83,200320.89,28879.94,12.6,Completed
INV-10850,2025-01-19,Asia,Software Licenses,19359.57,17086.49,2273.08,11.74,Completed
INV-11086,2025-01-19,Americas,Logistics,20444.53,17400.99,3043.54,14.89,Completed
INV-10312,2025-01-20,EMENA,Marketing,48060.0,43755.28,4304.72,8.96,In Progress
INV-10642,2025-01-20,EMENA,Marketing,56453.27,55149.88,1303.39,2.31,Completed
INV-10788,2025-01-20,Asia,Raw Materials,300345.39,258185.93,42159.46,14.04,Completed
INV-10831,2025-01-20,Asia,Raw Materials,291271.72,261159.7,30112.02,10.34,Completed
INV-10869,2025-01-20,Americas,Software Licenses,10976.91,10507.63,469.28,4.28,Completed
INV-10907,2025-01-20,Asia,Professional Services,46975.4,42700.56,4274.84,9.1,Completed
INV-11339,2025-01-20,Americas,Logistics,13271.36,12744.26,527.1,3.97,Completed
INV-10053,2025-01-21,EMENA,Professional Services,42818.64,36768.3,6050.34,14.13,Pending
INV-10158,2025-01-21,Asia,Office Supplies,1115.51,1079.11,36.4,3.26,Completed
INV-10290,2025-01-21,Americas,Office Supplies,1149.2,1036.21,112.99,9.83,Completed
INV-10766,2025-01-21,EMENA,Marketing,33332.67,29527.02,3805.65,11.42,Completed
INV-11419,2025-01-21,Asia,Software Licenses,1101.16,1015.12,86.04,7.81,Completed
INV-11486,2025-01-21,Asia,IT Hardware,12699.91,12370.61,329.3,2.59,Completed
INV-10248,2025-01-22,Americas,IT Hardware,18204.92,17737.15,467.77,2.57,Completed
INV-10715,2025-01-22,EMENA,Marketing,76683.48,77231.42,-547.94,-0.71,Pending
INV-10924,2025-01-22,Americas,Logistics,27782.75,23753.44,4029.31,14.5,Completed
INV-10140,2025-01-23,Asia,Software Licenses,11864.16,11266.64,597.52,5.04,Completed
INV-10179,2025-01-23,Asia,Raw Materials,99074.3,90603.54,8470.76,8.55,Completed
INV-10978,2025-01-23,Asia,Software Licenses,18361.34,15850.01,2511.33,13.68,Completed
INV-11039,2025-01-23,Asia,Raw Materials,316929.28,291264.12,25665.16,8.1,Completed
INV-11314,2025-01-23,Asia,Software Licenses,14271.92,13809.23,462.69,3.24,Completed
INV-10071,2025-01-24,EMENA,Marketing,28281.46,24750.43,3531.03,12.49,Completed
INV-10858,2025-01-24,Asia,Office Supplies,1432.99,1289.71,143.28,10.0,Completed
INV-10360,2025-01-25,Asia,IT Hardware,42758.08,41489.75,1268.33,2.97,Completed
INV-10576,2025-01-25,EMENA,Logistics,35308.68,33428.4,1880.28,5.33,Completed
INV-10610,2025-01-25,Asia,Raw Materials,110586.21,101203.22,9382.99,8.48,Completed
INV-10833,2025-01-26,Asia,IT Hardware,30096.54,27475.24,2621.3,8.71,Completed
INV-10848,2025-01-26,Asia,Raw Materials,427106.5,401993.75,25112.75,5.88,Completed
INV-10196,2025-01-27,Americas,Marketing,29328.72,25152.81,4175.91,14.24,Completed
INV-10914,2025-01-27,Asia,Professional Services,15527.6,14261.93,1265.67,8.15,Completed
INV-11408,2025-01-27,EMENA,IT Hardware,9322.15,7955.14,1367.01,14.66,Completed
INV-10031,2025-01-28,Asia,Logistics,15463.31,14327.63,1135.68,7.34,Completed
INV-10879,2025-01-28,EMENA,IT Hardware,26183.1,23360.18,2822.92,10.78,Completed
INV-10991,2025-01-28,Americas,Professional Services,90813.97,83052.68,7761.29,8.55,Completed
INV-11127,2025-01-28,EMENA,Raw Materials,433865.15,388107.76,45757.39,10.55,Completed
INV-11214,2025-01-28,Asia,IT Hardware,13659.2,12287.39,1371.81,10.04,In Progress
INV-10461,2025-01-29,Asia,Raw Materials,332389.77,304303.11,28086.66,8.45,Completed
INV-10677,2025-01-29,EMENA,Software Licenses,12961.27,12636.01,325.26,2.51,Completed
INV-11010,2025-01-29,Americas,Raw Materials,428394.61,394989.92,33404.69,7.8,Completed
INV-11065,2025-01-29,Asia,Raw Materials,261418.27,237082.01,24336.26,9.31,Completed
INV-10456,2025-01-30,EMENA,Professional Services,72880.83,64507.22,8373.61,11.49,Completed
INV-11026,2025-01-30,Asia,Marketing,48144.78,41891.43,6253.35,12.99,Completed
INV-11442,2025-01-30,EMENA,IT Hardware,37847.89,32441.97,5405.92,14.28,Completed
INV-10808,2025-01-31,Americas,Raw Materials,457718.13,417217.45,40500.68,8.85,Completed
INV-10523,2025-02-01,Americas,Logistics,19672.2,18700.17,972.03,4.94,Completed
INV-11163,2025-02-01,Asia,Marketing,72880.49,63202.51,9677.98,13.28,Completed
INV-11371,2025-02-01,Asia,Software Licenses,10080.05,8996.8,1083.25,10.75,Completed
INV-11370,2025-02-02,Asia,Software Licenses,2516.39,2438.02,78.37,3.11,Completed
INV-11415,2025-02-02,Asia,Marketing,37524.24,33986.27,3537.97,9.43,Completed
